setting,shot,seed,method,circuit_type,accuracy,f1,macro_f1,weighted_f1,roc_auc,runtime_seconds,best_epoch,num_classes,class_names
urban_structural4_small_cnn_shot16,16,42,baseline_cnn,,0.27069867651585106,0.20722478817957163,0.20722478817957163,0.25557274407418873,0.7004685396258592,36.95424883405212,4,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,42,hybrid_control,,0.5630193905817175,0.550421655649327,0.550421655649327,0.5831486310526739,0.7617823231981935,46.87003762507811,11,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,42,hybrid_no_entanglement,no_entanglement,0.17997845490920283,0.1552490754383634,0.1552490754383634,0.1873401543037315,0.6980495062986742,80.58525129104964,2,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,42,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.4420590951061865,0.31614309734772594,0.31614309734772594,0.46318461728689303,0.6921314013907583,200.68243620893918,2,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,43,baseline_cnn,,0.38496460449369035,0.22503880350777566,0.22503880350777566,0.2744942277690553,0.810338667424999,38.91274420800619,5,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,43,hybrid_control,,0.3636503539550631,0.2344169805716446,0.2344169805716446,0.2866085435535825,0.7092703755111476,38.472806124947965,2,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,43,hybrid_no_entanglement,no_entanglement,0.47991689750692523,0.4506393681092675,0.4506393681092675,0.3895278009610851,0.7973091539028754,102.69608999998309,12,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,43,hybrid_zz_real_amplitudes,zz_real_amplitudes,0.3692674669128963,0.22781027575678792,0.22781027575678792,0.2746707275945002,0.7354452164224831,188.40025766694453,1,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,44,baseline_cnn,,0.5903354878424131,0.40656694221833556,0.40656694221833556,0.5534811040688209,0.8504722764749887,40.009751167031936,9,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,44,hybrid_control,,0.6360418590335488,0.3856742786149805,0.3856742786149805,0.606286597721455,0.8131711066967755,36.78389941598289,1,4,"vehicle,bridge,harbor,storagetank"
urban_structural4_small_cnn_shot16,16,44,hybrid_no_entanglement,no_entanglement,0.7607725453985842,0.6772760951121143,0.6772760951121143,0.7525463253717715,0.9187392098333457,103.15645487501752,12,4,"vehicle,bridge,harbor,storagetank"
